context_small,context_large,word,prev,prev_fav,fol,fol_fav,frequency,freq_log_ppm,count,frequency_ppm,hapax,stress,fav_num
 harto me basta auer llorado a,companero: harto me basta auer llorado al vno: porque has de sabe,llorado,r,no,o,yes,14.618387007177628,2.6822801204086426,1,14.618387007177628,yes,stressed,0
 bozes como loco: de plazer. ,oche dando bozes como loco: de plazer. SOS.--o como son sin tien,plazer,e,yes,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,0
 bozes como loco: de plazer. ,oche dando bozes como loco: de plazer. SOS.--o como son sin tien,plazer,e,yes,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,31
s holgando e auiendo plazer: ,is cauallos holgando e auiendo plazer: diziendo cantares por olu,plazer,o,yes,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,0
s holgando e auiendo plazer: ,is cauallos holgando e auiendo plazer: diziendo cantares por olu,plazer,o,yes,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,31
visitacion. y si mas clara q,cotidiana visitacion. y si mas clara quieres senora ver su fals,clara,s,no,a,yes,292.36774014355257,5.678012393962634,20,292.36774014355257,no,stressed,0
visitacion. y si mas clara q,cotidiana visitacion. y si mas clara quieres senora ver su fals,clara,s,no,a,yes,292.36774014355257,5.678012393962634,20,292.36774014355257,no,stressed,3
quien osa entrar sin llamar a,re: veras quien osa entrar sin llamar a la puerta. torna torna a,llamar,n,no,a,yes,263.1309661291973,5.572651878304807,18,263.1309661291973,no,stressed,6
quien osa entrar sin llamar a,re: veras quien osa entrar sin llamar a la puerta. torna torna a,llamar,n,no,a,yes,263.1309661291973,5.572651878304807,18,263.1309661291973,no,stressed,0
 que me auian de dar plazer. ,ssen: sino que me auian de dar plazer. AREU.--no entremos por mi,plazer,r,no,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,0
 que me auian de dar plazer. ,ssen: sino que me auian de dar plazer. AREU.--no entremos por mi,plazer,r,no,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,31
yormente de mugeres? llegate a,sitado: mayormente de mugeres? llegate aca senor Centurio que en ,llegate,?,no,e,yes,146.18387007177628,4.9848652134026885,10,146.18387007177628,no,stressed,0
yormente de mugeres? llegate a,sitado: mayormente de mugeres? llegate aca senor Centurio que en ,llegate,?,no,e,yes,146.18387007177628,4.9848652134026885,10,146.18387007177628,no,stressed,1
 vn cauallero que se llama C,vengues de vn cauallero que se llama Calisto: que nos ha enojad,llama,e,yes,a,yes,1257.1812826172759,7.13662741666215,86,1257.1812826172759,no,stressed,0
 vn cauallero que se llama C,vengues de vn cauallero que se llama Calisto: que nos ha enojad,llama,e,yes,a,yes,1257.1812826172759,7.13662741666215,86,1257.1812826172759,no,stressed,8
uelo / e Centurio se llamo m,re a mi abuelo / e Centurio se llamo mi padre: e Centurio me ll,llamo,e,yes,a,yes,73.09193503588814,4.291718032842743,5,73.09193503588814,no,stressed,3
padre: e Centurio me llamo y, llamo mi padre: e Centurio me llamo yo. ELIC.--pues que hizo e,llamo,e,yes,a,yes,73.09193503588814,4.291718032842743,5,73.09193503588814,no,stressed,3
como se le antojare. llore M,e: matele como se le antojare. llore Melibea como tu has hecho:,llore,.,no,o,yes,131.56548306459865,4.879504697744862,9,131.56548306459865,no,stressed,0
como se le antojare. llore M,e: matele como se le antojare. llore Melibea como tu has hecho:,llore,.,no,o,yes,131.56548306459865,4.879504697744862,9,131.56548306459865,no,stressed,2
tome: e que vestidos lleuauan. ,lugar los tome: e que vestidos lleuauan. yo no las sabre dar: helo,lleuauan,s,no,e,yes,14.618387007177628,2.6822801204086426,1,14.618387007177628,yes,stressed,0
nda? quiero embiar a llamar a, e su demanda? quiero embiar a llamar a Traso el coxo e a sus do,llamar,a,yes,a,yes,263.1309661291973,5.572651878304807,18,263.1309661291973,no,stressed,6
nda? quiero embiar a llamar a, e su demanda? quiero embiar a llamar a Traso el coxo e a sus do,llamar,a,yes,a,yes,263.1309661291973,5.572651878304807,18,263.1309661291973,no,stressed,0
dia al estiercol que lleuaua d,que: yo hedia al estiercol que lleuaua dentro en los zapatos: ten,lleuaua,e,yes,e,yes,43.855161021532886,3.780892409076752,3,43.855161021532886,no,stressed,2
aje: ya sabra que te llaman S,bre de linaje: ya sabra que te llaman Sosia: e a tu padre llamar,llaman,e,yes,a,yes,233.89419211484204,5.454868842648423,16,233.89419211484204,no,stressed,9
aje: ya sabra que te llaman S,bre de linaje: ya sabra que te llaman Sosia: e a tu padre llamar,llaman,e,yes,a,yes,233.89419211484204,5.454868842648423,16,233.89419211484204,no,stressed,0
osia: e a tu padre llamaron S,e llaman Sosia: e a tu padre llamaron Sosia nascido e criado en ,llamaron,e,yes,a,yes,29.236774014355255,3.3754273009685876,2,29.236774014355255,no,stressed,2
berio de embidia del plazer d,isto e Pleberio de embidia del plazer de Melibea: cata que la em,plazer,l,no,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,0
berio de embidia del plazer d,isto e Pleberio de embidia del plazer de Melibea: cata que la em,plazer,l,no,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,31
dera. pero porque ya llegamos a, que verdadera. pero porque ya llegamos al huerto: e nuestro amo s,llegamos,a,yes,e,yes,29.236774014355255,3.3754273009685876,2,29.236774014355255,no,stressed,2
de aquestas viciosas flores. , ortelana de aquestas viciosas flores. por prender cada manana: ,flores,s,no,o,yes,87.71032204306577,4.474039589636697,6,87.71032204306577,no,stressed,0
de aquestas viciosas flores. , ortelana de aquestas viciosas flores. por prender cada manana: ,flores,s,no,o,yes,87.71032204306577,4.474039589636697,6,87.71032204306577,no,stressed,1
-alegre es la fuente clara: ,or. LUCR.--alegre es la fuente clara: a quien con gran sed la v,clara,e,yes,a,yes,292.36774014355257,5.678012393962634,20,292.36774014355257,no,stressed,0
-alegre es la fuente clara: ,or. LUCR.--alegre es la fuente clara: a quien con gran sed la v,clara,e,yes,a,yes,292.36774014355257,5.678012393962634,20,292.36774014355257,no,stressed,3
cantays al aluorada: lleuad n,ores: que cantays al aluorada: lleuad nueua a mis amores: como e,lleuad,:,no,e,yes,29.236774014355255,3.3754273009685876,2,29.236774014355255,no,stressed,0
